duygu;veri
Olumlu;ürünü alalı yaklaşık 2 sene oldu ben üründe sürekli saf yada içme suyu kullandığım için herhangi kireçlenme yada performans kaybı yaşamadım.tavsiye ederim bir buharlı ütü değil ama bence F/P ürünü =)
Olumlu;ürün biraz geç geldi ama beğendim istediğimiz gibi çıktı
Olumlu;Hızlı kargo. Sorunsuz işlem. Süreç boyunca bilgilendirmeler çok iyi. Teşekkürler amazzon Türkiye.
Olumlu;Ürün çok kaliteli eşim için aldim tavsiye ederim
Olumsuz;Yorumlara bakarak tereddüt etmeden aldım ama Benim için hayal kırıklığı oldu beklentilerinin çok altında bir kulaklık ses çok hışırtılı ve 10 liralık Bi kulaklıktan Bi farkı yok. Tiz ve bass çok dengesiz tekrardan hoparlörü patlamış kulaklığımla müzikleri dinliyorum verdiğimiz para çöp oldu
Olumsuz;Sürekli bağlantı kopuyor. Kesinlikle tavsiye etmiyorum. küfür ettiren leş gibi marka
Olumlu;çok güzel çekiş gücü harika tereddüt etmeden alabilirsiniz tşkler trentyol
Olumsuz;İyade sürecinde hiç sorun çıkarmayan trent yol ailesine teşekkür ediyorum ..
Olumlu;Olumlu yönleri: ürün çok iyi
Olumsuz;kurumuş gibi resmen hiç memnun kalmadım
Olumlu;amazzon sitesinden ilkkez alışveriş yaptım paketleme olsun kargo olsun harika ürüne gelirsek harika çekim gücü gerçekten mükemmel halıyı resmen yerinden kaldırıyor turbo başlıkla süpürmesi harika bu fiyata harika performans pahalı ürünlere hiç gerek yok tavsiye ederim
Olumlu;evimiz temiz zannediyorduk taki bu urunu alana kadar. çok güzel bir urun sesi orta seviyede çekim gücü mükemmel. biraz büyük bir urun tek dezavantajı bu.
Olumlu;harika bir ürün hiç pişman olmadığım marka ve üründen biri
Olumsuz;Kullandığım USB 2.0 lar bundan kat ve kat üstün. Xiaomi note 6 pro dan USB ye aktarım hızı ekteki resimde 1 mb/s den daha kötü yarım mb bile değil. Dosya aktarımı çok ama çok yorar.
Olumsuz;Ürün açık konuşmak gerekirse tercih edilecek bir ürün değil.Sebebine gelince kulağınıza takıyorsunuz ve belirli bir süre sonra (10 dakika) aşırı bir şekilde kulağınızı acıttığını hissedebiliyorsunuz.Belki buna sebep plastik kısmının olmamasıdır.Ses kalitesi iyi ama kesinlikle sipariş vermemenizi tavsiye ederim.
Olumsuz;4 gündür kullanıyorum beklediğim gibi çıkmadı
Olumsuz;3 kere tost yaptık Üst plastiği eridi delik açıldı tavsiye etmiyorum bu kadar kötü bir kalite nasıl piyasaya sağlam diye sürülüyor anlam veremiyorum yazık
Olumlu;İlk kez çay makinesi aldım. Kettle olarak da kullanılabilmesi avantaj. Hem altı hem üstü çelik olduğu için kırıldı derdi yok. İnşallah uzun süre kullanılabilir.
Olumsuz;Beğenmedim çok basit
Olumlu;Olumlu yönleri: Oldukça iyi ve pratik.
Olumlu;boyle guzel cekecegini sanmiyordum tesekkurler
Olumsuz;Ürün berbat sürekli su akıtıyor verdiğim paraya yazık
Olumsuz;urun ıyi güzel ama bekledigim gibi performans vermedi az cikiyo sesi
Olumlu;çok güzel bir ürün herkese tavsiye ederim tereddütsüz alın bir tane aldım birtanede anneme alacağım şimdi...
Olumsuz;çok ufak geldi ürün bildilerini okumadan aldım deein dondurucudan küçük gelmişken geri iade etmedim
Olumsuz;hem ses kalitesi hem de ergonomisi sorunlu
Olumsuz;Ürün elimize ulaşmadı
Olumlu;Güzel cekis gucu bu fiyata göre harika malzemesj d ekaliteli sağlam tavsiye ederim tek kotu yani torbalı olması
Olumlu;kaliteli ürün hızlı kargo teşekkürler
Olumsuz;Kisa ve oz Gidin Baska Marka Printer alin. Lan baglantisi yok wifi da telefondan print etmek icin profesor diplomasi lazım.
Olumlu;Beğendim çok kullanişli
Olumlu;Ürün en kısa sürede elimize ulaştı çok kaliteli ürün teşekkürler hepsiburada
Olumlu;Çok teşekkür ederim hızlı kargo ve kaliteli ürün
Olumlu;Fiyatına göre çok iyi
Olumlu;Anneler gününde indirimdeyken almıştım annem çok beğendi sadece kırmızı yerine pembe geldi olsun
Olumsuz;ÜRÜNÜ KESİNLİKLE BEĞENMEDİM. TIRT BİR ÜRÜN GÖRÜNDÜĞÜ GİBİ DEĞİL ALDANIP ALMAYIN.
Olumsuz;Ürün bugün geldi kapağı tam kapanmıyor ayrıca tabanlığı Su Isıtıcıyla beraber ele geliyor ayrıca elle ayırmak gerekiyor.çok hafif ....ürünü beğenmedim bu nedenle iade ediyorum.
Olumlu;A serisinin en fiyat performans ürünü karşınızda kamera özellikleri itibari ile çok iyi ve gece çekimlerinde başarılı bir kamera performansı var. A70 ile a50 yi kıyaslamak mantıksız paranız yoksa a50 varsa a70
Olumsuz;Hiç güzel değil pasta ve kekleri düzgün pişirmiyor üzerleri hemen kızarıyor ama içi çiğ kalıyor
Olumsuz;makina ilk kullanimdan itibaren çok sesli ve leke bırakıyor 5 defa teknik servis geldi incele di bi çözüm bulamadi en sonunda balkondan aşşa atacağım
Olumlu;Berbat bir cihaz kesinlikle boşa almayın 3 ayda bir filtre değişimi istiyor ücret talep ediliyor
Olumsuz;Ürün alalı 5 ay olmuş şarj olmuyor
Olumsuz;türksat kanallarını hordbitten veriyor.hordbirt kanallarını türksattan veriyor
Olumlu;Merhabalar efendim herkese. Kamerasına bittim. Herkes zaten bu özeliğini seviyor en fazla beni tatmin etti. hem hızı güzel hem dokunmatiği tasarımı ise klasik samsung kalitesi ile donatılmış ram yeterli ve hafıza artabiliyor.
Olumlu;Olumlu yönleri: süper
Olumlu;Süper bayıldım harika bir ürün
Olumsuz;16 gb hafıza kartı üzerinde yazan içindeki hafıza 8 gb çıktı20 yıllık elektronik ustasıyım böyle birşey görmedim2 adet aldım diğerini açmaya korkuyorumDaha fazla alacaktım yakışmadı sizeamazzon hızlı kargo için teşekürler
Olumlu;paketleme hızlı teslimat. mükemmel bir ürün. 3 aydır kullanıyorum yeni evliyim. yeni eşyaların devamlı çıkan tozundan eser bırakmıyor. en ufak zerreye kadar içine hapsedip haznesinde parçalıyor. kesinlikle tavsiye ediyorum
Olumsuz;hayır beğenmedin kullanılmış gibi
Olumlu;Cam hazne ve bağlantı şekli çok saçma. Orjinal gibi durmuyor. Tefal malesef ürünlerini paketleme konussunda sınıfta kaldı. Daha once de tefalden ürün aldık ve paketlemeden dolayı cızık geldi.amazzon.com.tr den gayet memnun kaldık. Ürünlerinin arkasında duruyorlar fakat iade politikası nedeniyle mi bilemiyorum ama sanki ürünler daha önce açılmış hissi veriyor.
Olumsuz;Ürünün blender başlığı harika hem şık duruyor hem de sağlam. Fakat şunu göz önünde bulundurmalısınız: Bu ürün 3 lü kullanım kolaylığı sağlayan bir ürün değil. Çırpıcısı mikser görevi yapmıyor ince telli ve ?üçük bir yapısı var. Ürün kurusunda çırpıcı  ürünün özelliğinde krep ve krema çırpar yazıyor. Yani ekstradan mikser almanız gerekiyor. Gelelim rondosuna. Bu setin bazı çeşitlerinde doğrama kabı 500 ml fakat bu üründe 350 ml. Ve de plastik olduğu kendini belli ediyor. Yani doğrama içinde  ayrı bir ürüne ihtiyaç  olacak. Bu nedenle kaliteli ve ergonomik bulmadım iade ettim.
Olumsuz;bu fiyata anca buradan.
Olumsuz;.urunun kenarlari kirik geldi hic hos deil
Olumlu;Harika bi urun daha öncesindede almistim ama sürat kargoyu degistirmeniz lazım beş para etmez  ürünü kimlik ile teslim edilmesi gerekirken başkasına ürünü teslim ediyolar ben kime teslim edildi diye arıyorum kargoyu bulmak için
Olumlu;Geç geldi ama çok özenle paketlenmişti teşekkürler
Olumlu;Çok ii mükemmel paketleme
Olumlu;Hızlı kargo orjinal ürün için teşekkürler
Olumsuz;Tek kelimeyle rezalet şarzı arızalı GittiGidiyor dan aldım değiştirmiyorlar
Olumlu;Ütüde yıllardır philips kullanan biri olarak sadece philips ürünleri arasında yaptığım araştırma sonucunda bu ürünü Mayıs 2019 tarihinde indirimli olarak aldım. Çok sık (sürekli gömlek ve pantolon) ütü yapıyorum ve yaklaşık yedi aydır ütüyü kullanıyorum. Hiçbir problemle karşılaşmadım. Basınç-buhar gayet yeterli en zor kumaşta bile. Ütüde dikkat edilmesi gereken husus kumaşın türüne göre ütünün ayarının yapılmasıdır. Su damlatma sorununu ütüyü prize takıp beş-10 saniye ısındıktan sonra suyu ütüye dökerek çözebilirsiniz. Kireç için belirli aralıklarla ütüdeki self-cleaning butonunu kullanmak gerekir(sık kullanımda için ayda 3-4 belki). Temiz kullanımda uzun yıllar sağlam bir şekilde çalışacaktır. Sonuç olarak tavsiye ederim.
Olumlu;arkadaşıma hediye aldım çok memnunum ürünlerinden ??
Olumlu;Bilmiyorum bizim daha önce kullandığımız süpürgeden mi neden eşim de ben çok beğendik. Çekim gücü gayet güzel sessiz de çalışıyor. hepsiburada.com 40-50 tl daha ucuz diğer sitelere göre.
Olumsuz;Kulaklıktan cok az ses geliyor bas ve tiz seslerini düzgün vermiyor parasını haketmiyor
Olumsuz;Tuşları çok sert ve tuş aralıkları çok yakın aynı fiyata daha iyisi alınabilir
Olumsuz;ürün fiyatına göre iyi fakat çay güzel gelmedi  birde aşırı bir plastik kokusu var
Olumlu;Avantajlar : fiyat<br />İnternette yaptığım araştırmalar sonucu bu ürünün fiyat performans açısından çok iyi olduğuna karar verdim. Şimdi alıyorum.
Olumlu;Çok kullanışlı
Olumsuz;Kesinlikle tavsiye etmiyorum blender cok gürültülü ve 2 3 kere ancak Kullanmışımdır ateş çıktı elimde patladı  dumanlı cok kalitesiz ve cabuk bozulan  ürün fiyatı da kalitesine göre cok fazla bence
Olumlu;ürün çok güzel ve çok kaliteli
Olumsuz;Her zaman rahatça kullanılabilecek ruj değil .. Sür çık dışarı bir ruj asla değil ..  araştırmadan almıştım  . Bir arkadaşta qörüp  onda qüzel qözükmüşdü qözüme .. pişman oldum  .. Güzel bir makyajla  bu rengi kullanabilirsiniz ancak . Herkesin  kullanacağı bir renk hiç değil .
Olumlu;Çok güzel bir makina tavsiye ederim kahvesi süper oluyor
Olumsuz;Ben tavsiye etmiyorum küçük firin gibi izgara ile alakası yok üsten ısıtıyor
Olumlu;Olumlu yönleri: Tavsiye ederim güzel ürün...
Olumsuz;Çabuk paketleme ve gönderim. Teşekkürler.
Olumsuz;Aparatları birbirine uymadığı için geri vermek zorunda kaldım.
Olumlu;denedim bide çay demledim gayet iyi.
Olumlu;9 sene önce kullandığım bir telefondu o zamanlar çok iyiydi
Olumlu;Güzel tertemiz geldi henüz kullanmadım fakat kutusu hiç zarar görmemiş . Umarım iyidir.
Olumlu;Mukemmel sorunsuz ulastı
Olumsuz;Boşa para vermeyin yazık olur.
Olumsuz;Ne yaparsanız yapın içindekileri alttan akıtıyor kap ve plastikleri aslında fena değil ama sanırım ürün genelinde sorunlu
Olumsuz;Çok basit kalitesiz.Boşa para vermeyin
Olumsuz;Urunun voltaji 1000 ve 2100 diyor ama alakasi yoktur telefonujuz 8 saatte sarj olur cok yavas sarji vardir 380 760 amper arasi bir voltaj yollamaktadir 2600 bataryamida 2 defa doldurmaktadir
Olumlu;Olumlu yönleri: oğlumun evinde iki kedisi var. günlük temizlik için aldım. çok memnun kaldık.
Olumsuz;2 aydir kullaniyorum 2 kere ampul patladi cekmiyor cok sesli servis hepsi normal diyor 5 para etmez
Olumlu;Hizli kargo hizli servis kullanimini iki kez test ettim sonuc gayet guzel ses icin soyle diyebilirim rahatsiz etmeyen ortalama bir ses alicisina hayirli olsum
Olumsuz;paranıza yazık vermeyin
Olumsuz;Ürün ezik büzük geldi.
Olumsuz;Ürünü bilemiycem ama ulaştırma konusu çok problem oldu gercekten aldığım ürün yaklaşık 1 haftadır gelmedi ve ürünün kargo takibini de yapamıyorum.
Olumlu;beklemeniz lazım kahve başında makineyhe bırakmayın kahveyi yakabilir.
Olumlu;Güzel çift bıçak
Olumlu;Kargo hızlı servis güker yüzlü  makina kullanmadık daha bakıcaz
Olumlu;çok hızlı ve güvenilir bir şekilde teslim edildi . teşekkürler
Olumlu;Ürün görseldeki ürünle birebir aynı gönül rahatlığı ile alabilirsiniz ürün ayriyeten mükemmel kargoda söylenilen tarihte elime ulaştı Teşekkürler amazzon ailesi...
Olumlu;15 gün önce aldim.hızlı geldi.ve su an için fiyatına gore çok iyi maşallah.güvenilir ve sağlam firma gerçekten tskler
Olumsuz;Tek kelime Almayin...
Olumsuz;Aynı mousten bende kullanıyorum normal kullanım için çok güzel ancak oyun mouse olmasına rağmen oyun oynatmayan bir ürün şikayetim sol click basılı tuttuğunda çoğunlukla 1 kez click oluyor internetten araştırdım Everest firmasının yaptığı ürünlerin 8/10 için aynı sorunlar oluştuğunu fark ettim burdan da size uyarı yapayım oyun için almayın pişmanlıktır.
Olumlu;Çeyiz için aldık önce denedik daha sonra. Bir tanede kendime aldım.buhar gücü gayet iyi.düşük  fiyat yüksek kalite
Olumlu;çok güzel makina diğerlerine göre kaliteli
Olumlu;çok beğendik teşekkür ederim
Olumsuz;Çok kötü bir ürün. hele beraberinde gelen kulaklık çok kalitesiz ve kablosu kısacık. takıp kullanmak imkansız. sakın almayın
Olumlu;Ürünü haftada 2 gün kullanıyorum. Bu ürünü 4 yıl önce aldım. Üründe çok şükür hiç bir sıkıntısı yok. Tafsiye ediyorum çevreme. Bence en iyisi bu makina.
Olumlu;Cok ıyı utu yapıyor
Olumsuz;emiş gücü zayıf
Olumlu;Çeyizim için aldım kaliteli bir ürün
Olumlu;beyaz olması dışında iyi
Olumsuz;aldığım fırın paketleme hatasından dolayı.camı kırılmış.şimdi iade ile uğraşıcaz
Olumlu;Çok pratik çok güzel bir ürün tavsiye ederim
Olumsuz;beklediğim kadar güzel bir ürün degil ayrıca içide kurumuş bir şekilde geldi.
Olumlu;Yorumlarda soylendigi gibi hemen ısınmadı ama ısındıktan  çok guzel bir ürün hemen soğumuyor çıkarılıp yikanabilen plakalar cok iyi
Olumsuz;Selam bu izgaranin rezidans temizligi nasil oluyor bilen varmi?
Olumlu;Beklediğim gibi geldi hızlı Kargo
Olumlu;Ürün çok kullanışlı beğendim.
Olumsuz;Olumsuz yönleri: Ürünün ikinci kullnımda  butonu bozuldu
Olumsuz;ekranı çok kötü bilgisayari her açtığımda saat ayarı istiyor
Olumsuz;hiç verim alamadık.şu an kullanmamıyoruz.
Olumlu;İki aydır araştıran bir müşteri olarak söyleyebilirim ki Fiyat/performans analizi olarak piyasada bulabileceğiniz en iyi çamaşır makinesi.
Olumlu;süper bir alışveriş oldu.
Olumsuz;Tasarım harika zaten herkesin bildiği bir marka ve en azından çin malı değilürün üstünde telefonu koyduğunuzda direk şarj ediyor fakat ürünü alırken dikkat edin hızlı şarj özelliği yokbenim telefonum galaxy s6 qı sertifikasıda var fakat cihazın üstüne koydum 2saat geçti aldığımda sadece yüzde2 şarj etmişti. Aynı gün geri iade ettim.amazzon çok hızlı gönderdi aldığım günün ertesinde cihaz elimdeydibende aldığım günün ertesi geri gönderdimve 1 gün sonra para hesabıma iade edildi site şuan çok hızlı çalışıyorumarım hep böyle kalır
Olumlu;Bizim eski makine bildiiin traktormus.
Olumlu;Ürün gayet sağlam ve kullanışlı çekişi fazla ama yanında verdikleri yer başlığı yere çok yapışıyor ama almaya değer
Olumlu;"Erkek olmama rağmen çeyizim için en çok istediğim üründü :) Hemen aldım. Kullanan herkes memnun. Yakında evleniyorum. Kullanır kullanmaz yorumumu editlerim. Burdan Zeyneb'e sesleniyorum; ""Seni çok seviyorum bebeğim"""
Olumlu;urun zaten kullandigim urun ancak surat kargo 5 gunde sikayet maille getirdi
Olumsuz;kulaklik girişinde sorun var telefona tam oturmuyor. Ses cızırtılı
Olumsuz;ürün resmindeki gibi değil.ürünü iade ettim.
Olumlu;Evet istediğim gibi bir ürün
Olumlu;bu fiyata bu ürün harika... teşekkürler hepsiburada.
Olumlu;Çekim kuvveti inanılmaz güzel ??
Olumsuz;kumtel marka sipariş ettim aynı ürünün modelinden luxell marka cıktı kargodan. :) ama olsun hızlı isitiyor ve ise yarayan bir urun
Olumsuz;Dandirik bir ürün tavsiye etmem
Olumsuz;fiyatına göre oldukca iyi bir ürün tavsiye ederim
Olumlu;Ürünü c ok begendim anlatıldığı gibi
Olumsuz;ürün bugün teslim edildi. yıllardır hepsiburada dan alişveriş yaparız ilk defa sorun yaşadık. horoz lojistik diye bi firmayla gönderildi ürün fakat firma çok ama çok kötü sırf bu sebepten tavsiye etmiyorum kesinlikle boşuna gerilim yasıyorsunuz sırf naklıye fırmasının tavırları yuzunden
Olumlu;Ürünün fiyatı ve performansı çok iyi
Olumsuz;Çok kötü ilgisiz amacsiz
Olumlu;yaklaşık bir yıldır kullanıyoruz çok kullanışlı ve pratik. hiç bir arıza deformasyon yok. çelik olması avantaj.her eve lazım bence. arkadaşlara şiddetle tavsiye ederim. onunla çayımız her daim hazır. afiyet olsun
Olumlu;mutfakta severek kullandığım ürün tavsiye ederim
Olumsuz;cok kotu cok kalitesiz paraniza yazik olur..yorumlarda iyi super yazanlara inanmayin
Olumlu;magaza mukemmel hizmet urun kalite tesekkurler
Olumsuz;İade ettim beğenmedim
Olumsuz;cok kalitesiz 30 dk yuzde 3 sarj ediyor
Olumlu;Bir seneden fazladır kullanıyorum buradan aldım çekiş gücü aparatları teslimatı herşeyi sorunsuz çok güzel evde toz bırakmıyor toz haznesini temizlemesi de çok basit kolay. Ben çok memnunum kırılan dökülen kopan hicbir yeri olmadı sağlam güzel bir makina tavsiye ederim alınır.
Olumsuz;Bende bu üründen var başka bir yerden aldım oyun indirmek için çok kötü 8GB yazıyor ama 5GB kullanabılırsınız kendı uygulamalari kapsıyor 3 GB sini zaten arada donmalar var takılıyor hizli ama takılmalar var yani almamanızı tavsiye ederim eğerki çocugunuz için alıcaksanız hiç almayın..
Olumsuz;Bu TV de telefondan TV ye görüntü aktarımı yapan var mı ben yapamadım.
Olumlu;sesi yüksek diyorlar yorumlarda ancak rahatsız edici bir sesi yok. Emiş gücü çok iyi tavsiye ederim
Olumsuz;kalitesi pek iyi değil. Montajı zor.pervane korkulugu emniyet şerit halkası takması zor.
Olumlu;Bu fiyata alınabilecek güzel bir ürün
Olumlu;evet cok memnun kaldim
Olumsuz;Çekim gücü iyi.sesi de çok yüksek  değil. Bu fiyata ideal bir ürün.
Olumlu;çeyizim  için almıştım  güzel  bi ütüye  benziyor
Olumlu;Kullanışlı ve güzel
Olumlu;Çok güzel ürün tam anlatıldığı gibi
Olumsuz;Olumsuz yönleri: Kumtel ve tedarikci firma kötü tavsiye etmiyorum
Olumlu;Çok beğendim ve hızlı kargo
Olumlu;urun gayet kullanışlı
Olumsuz;Arkadaşlar 1 önceki yorumumu güncelliyorum. Ürünü 1 aydır kullanıyorum. Çok sesli çalışıyor ve bu durum rahatsız edici bir hal almaya başladı. Özellikle gece yatarken dondurucunun kurulu olduğu yerin kapısı açıksa sessizliğinde etkisiyle bazen uykudan bile uyandırabiliyor. Teknik servis geldi baktı herhangi bir sıkıntı yok dedi. Ürün iç hacim olarak geniş olsa da almanızı tavsiye etmiyorum.
Olumsuz;Kulaklık 1 hafta sonra bozuldu
Olumsuz;kapağı hic sağlam degil
Olumlu;urun sorunsuz.hizli kargo.
Olumlu;çeyizim için aldı henüz kullanamadım ama cam olması güzel
Olumsuz;Ürün kırık geldi geri yolladım 17.5lira kargoya verdim bekliyorum bakalim para iadesi yaparlarsa yorumu tekrar düzenleyip bilgi veririm
Olumlu;İndirimdeylen aldık gayet iyi ısıtıyor çok çok iyi bir makine
Olumlu;Bayıldımmm rengi görünüşü Harika çeyizime aldım denedim ısınması hızlı inşallah kullanıncada memnun kalırım Korkmaz kalitesi zaten ayrıca paketlenmesi kargo hızı mükemmel teşekkürler Trendyol
Olumsuz;tedarikçi firma sipariş iptaline izin vermeyip ürünü gönderip alışverişi zora sokuyorlar.
Olumlu;Avantajlar : Çok avantajlı<br />Fiyat açısından çok uygun buldummmm..
Olumsuz;süpürgenin sapı çok çürük 10 günde kırılıyor. Çekişi güzel ama sapı ince kırıldı garanti kapsamına da girmiyor diğer firmalar çelik veya sağlam alaşım kullanıyor.
Olumlu;herşey çok güzel ama sadece kaplosu normal sıtandartların dan kısa galiba
Olumsuz;Daha ikinci kullanımda bozuldu ayrıca kapağı ilk kullanımda damlattı berbat bi ürün çok pişmanım almayın yazık paranıza
Olumlu;Telefon elime 2 iş günü içerisinde sorunsuz bir şekilde ulaştı telefon gerçekten premium his veren üst sınıf bi cihaz hepsiburada ailesine teşekkürlerimi sunarım
Olumlu;Olumlu yönleri: Kibar güzel bir makine
Olumlu;Mükemmel cok begendım
Olumsuz;İlk kullanımda suya pas tadı verdi
Olumlu;Ürün anlatıldığı gibi gayet güzel 3 yıl garantili
Olumlu;işe yarayan bir ürün
Olumsuz;keşke önce yorumları okusaydım 3. gün bozuldu
Olumsuz;üründen memnun kalmadım. özellikle desen dikimlerinde çok başarısız. kumaşı büzüyor-topluyor. iade etmek istedim fakat satın aldığım firma olan istereyon firması iade almak istemedi. eğitim verelim dediler. verdikleri eğitimde ise desen dikerken kumaşın altına kağıt koymamı vs gibi çağ dışı şeyler söylediler. firma iade almaya yanaşmayınca ben de tüketici hakem heyetine başvurdum ve makineyi iade ettim.
Olumlu;ürün başarılı ...
Olumsuz;Yedek parca bulamazsiniz
Olumlu;arzum çok güzel sağlam bir tost makinası yapmış çok memnunum
Olumsuz;Ürünü telefonumun batarya sağlığı için almıştım fakat diğer sarj cihazlarından farkı yok 1A destekli iphonemu 1.6A ila 1.85A arasında değişen akım değerleriyle dolduruyor buda demekki IQ sarj ve sürekli stabil değer muhabbetlerinin pazarlama yalanı olduğunu gösteriyor. Anlamanyanlara izah etmem gerekirse bu değerler evet telefonu daha hızlı sarj olmasını sağlıyor fakat aynı zamanda batarya ömrünüde kısaltmış oluyor. Bir yıldız verme sebebim bu bunun dışında çok küçük ve kaliteli malzemeden yapılmış fiyatına göre çok iyi ama sürekli kullanacaklara telefon bataryanız ölmesini istemiyorsanız sarj aletinizdeki değerlere uyan bir powerbank almalarını tavsiye ederim.
Olumsuz;1 sene iyi sonrasında hangisini alırsan al netleme sorunu 3 tane aldım hepsinde aynı sorun yazıklar olsun
Olumlu;Yeni evlendiğimiz için birçok ürün almak yerine tek bir ürün almayı tercih ettik Böylece rendeden doğrayıcıdan çırpıcıya hatta karıştırıc ya kadar hepsine sahip olmuş olduk Hem daha ekonomik oldu Hem de çok yer kaplamıyor motor gücü olarak 1000 watt sert besinlerde bile parçalayarak sorun yaşamamamızı sağladı  Hemen hemen bir aydır kullanıyoruz memnunuz teşekkürler
Olumsuz;Göz yakmaması ve temizleme etkisi güzel ancak cildimi çok kuruttu.
Olumlu;Annemin elektrikli süpürgeye ihtiyacı vardı ben de araştırdım birinci olarak Dyson diyorlar iki ise bu. Dyson makinaya çıkacak kadar bütçenizi zorlayamıyorsanız alın geçin bunu. İlk çalıştırdığım zaman gördüğüm manzaraya inanamıştım ev daha yeni temizlenmiş olmasına rağmen çalıştırmıştım ve deli gibi toz çekmişti bu şaşırma faslını her çalıştırdığım zaman yaşıyorum çok enteresan bir şekilde tozu kiri bulup çekiyor içine yere bakıyorum bir şey yok makşinaya bakıyorum haznesini doldurmuş ve emiş gücü baya iyi aynı zamanda sessiz bir süpürge.
Olumlu;Tam bir fiyat performans ürünü. Bu fiyata kaçırmayın derim
Olumlu;Fiyatına göre güzel çekiş gücüde güzel birazcık küçük sadece
Olumlu;Performansı orta derecede başarılı diyebilirim. güncel oyunları rahatlıkla açıp oyunda performans sağlayabiliyor. hafıza olarak  yeterli diyebilirim. 6 GB ram var ve hem oyun hem video hem müzik tamamını aynı anda bile çalıştırsanız yavaşlama olmuyor. arka kamerası 3 lensli ve çok net fotoğraflar çekebiliyorsunuz.
Olumlu;Kardeşime aldım çok beğendi
Olumlu;uygun fiyat gayet güzel
Olumlu;Olumlu yönleri: fiyatına göre iyi
Olumlu;kullanmadım ama şık duruyor
Olumsuz;Avantajlar : Ucuz<br />Dezavantajlar : Dayanıksız<br />5 yıllık babamların arçelik buzdolabının motoru bozuldu.
Olumsuz;kulalıkçok güzel ama sesi bay cıkıyor
Olumsuz;cayma hakkını tüketiciye tanımıyor yani servis kurulumu yapıldıktan sonra ürünü iade almıyorlar bilginize
Olumlu;urunu yaklasik 1.5 yildir kullaniyorum gucunde en ufak bir azalma olmadi. kesinlikle tavsiye ediyorum.
Olumlu;evet eşim çok beğendi
Olumlu;Çok rahat ve zevkli ütüleme yapılıyor.Sürekli buharı oldukça güçlü.Daha kullanalı iki hafta olduğu için kireç konusundaki başarısını bilmiyorum.Hızlı gönderim için teşekkürler
Olumsuz;ürün gayet şık hafif ancak yavaş şarj ediyor acil durumlar için ideal
Olumlu;Guzel Bir ürün sadece üst demliğe bir süzgeç oldu mu enfes çaylar oluyor
Olumsuz;Hizli sarj ozelligi yok.
Olumsuz;spigen kalitesi tartışılmaz fakat bu ürün hem dolma süresi hemde şarj süresi olsun tam bir felaket.olurda bu kadar olmaz.biraz daha para köyün üstüne hızlı sarj özelliği olan bir powerbank alın
Olumlu;Ürünü beğendim
Olumlu;Güzel ürün dürüst satıcı hızlı kargo teşekkürler
Olumsuz;İlk başta kargo görevini hakkıyla yapıyor helal olsun. Malzeme kaliteli güzel ancak  motor kısmı üst kapak kırmızı tam istedim gibi aksesuar ucundaki plastik aksam gri oysa resimlerde onlarda kırmızıydı içindeki neyse onun reklamını yapın aldatma olmasın amazzon gibi dev bir kuruluşa yakışmaz
Olumlu;Makine çok iyi. Sessiz olması ve elektrik sarfiyatı güzel durumda.
Olumsuz;Alırken Ütü tabanı çizilmez dediler  çizildi.ayrıca  Taban alti deforme oldu kumaşı cekme yapıyor   üzerindeki sticker düştü  bugün servise gönderdim değişim talep ediyorum .  Ben memnun kalmadım.
Olumlu;Gayet güzel bir ürün ve başarılı bir satıcı ????
Olumlu;7 aydır kullanıyorum hemen kaynatıyor çok memnunum
Olumsuz;Ürün geçen hafta bozuldu.hem de ikinci kullanımda. Alacaklar varsa almasın.
Olumsuz;ürünü aldıktan snra sorun çıkarsa nasıl iade edilir yada değişim yapılır
Olumsuz;Cok gec pisiriyo kek ve kurabiyleri kac derecede pisirecegimi sasirdim kesinlikle tavsiye etmiyorum hic iyi bir ürün degil.
Olumlu;Dik süpürge den aldım 1 aya kalmadan normal süpürge aldım 1 yıla kalmadan çekiş gücü yok seviyesine geldi filtresini temizleyince o gün iyi çekiyo sonra yine çekmiyo yıldırdı beni resmen hiç tavsiye etmiyorum
Olumlu;Hizli teslimat ve kaliteli paketleme icin tesekkurler
Olumsuz;Berbat bi supurge halı kenarlarindan saçlari elimle topluyorum Philips markasinin boyle bir supurgesi olmasi hayal kırıklığı yasatti!! Kimseye tavsiye etmem!?
Olumlu;Harika bir ürün kesinlikle tavsiye ederim
Olumsuz;Aldığım bu ürünün demlik kapağı kutunun içinden çıkmadı. Bı yüzden tavsiye etmiyorum.
Olumlu;kalitesi cok iyi.buyuk davetler icin ideal ve kullanisli
Olumsuz;Dün iki tane  Casper s20 tablet aldım kızlarım uzaktan. Eğitime daha rahat girebilmeleri için fakat böyle bir dokunmatik ekran ve yavaş çalışan bir cihaz görmedim eski Samsung tabletim bile daha iyi calisiyo .Genel olarak emeğe saygı ama berbat tablet yapmışsınız ..verilen her kuruşa yazık  .kesinlikle almayın arkadaşlar ..çok pisman olursunuz ..not tabletler hediye olarak geldi..mecburen kullanmak zorunda kaldık..
Olumlu;En son çıkan modelini aldım 2 yıldır dyson kullaniyordum  tam bir iskence gerek sesi gerek çekimi ancak yeni supurge philips kesinlikle tavsiye ederim tsk ler temiz evi tekrar supurdum nerdeyse haznesi doldu??????
